Papel;SETORES
ALOS3;Financeiros e Outros
APER3;Financeiros e Outros
ATOM3;Financeiros e Outros
B3SA3;Financeiros e Outros
BAZA3;Financeiros e Outros
BBAS3;Financeiros e Outros
BBDC3;Financeiros e Outros
BBDC4;Financeiros e Outros
BBSE3;Financeiros e Outros
BEES3;Financeiros e Outros
BEES4;Financeiros e Outros
BFRE11;Financeiros e Outros
BFRE12;Financeiros e Outros
BGIP3;Financeiros e Outros
BGIP4;Financeiros e Outros
BIDI11;Financeiros e Outros
BIDI3;Financeiros e Outros
BIDI4;Financeiros e Outros
BLUT3;Financeiros e Outros
BLUT4;Financeiros e Outros
BMEB3;Financeiros e Outros
BMEB4;Financeiros e Outros
BMGB4;Financeiros e Outros
BMIN3;Financeiros e Outros
BMIN4;Financeiros e Outros
BNBR3;Financeiros e Outros
BOAS3;Financeiros e Outros
BPAC11;Financeiros e Outros
BPAC3;Financeiros e Outros
BPAC5;Financeiros e Outros
BPAN4;Financeiros e Outros
BPAR3;Financeiros e Outros
BPAT33;Financeiros e Outros
BRBI11;Financeiros e Outros
BRBI3;Financeiros e Outros
BRBI4;Financeiros e Outros
BRGE11;Financeiros e Outros
BRGE12;Financeiros e Outros
BRGE3;Financeiros e Outros
BRGE5;Financeiros e Outros
BRGE6;Financeiros e Outros
BRGE7;Financeiros e Outros
BRGE8;Financeiros e Outros
BRIV3;Financeiros e Outros
BRIV4;Financeiros e Outros
BRML3;Financeiros e Outros
BRPR3;Financeiros e Outros
BRSR3;Financeiros e Outros
BRSR5;Financeiros e Outros
BRSR6;Financeiros e Outros
BSLI3;Financeiros e Outros
BSLI4;Financeiros e Outros
BTTL4;Financeiros e Outros
CCXC3;Financeiros e Outros
CIEL3;Financeiros e Outros
CMSA3;Financeiros e Outros
CMSA4;Financeiros e Outros
CORR3;Financeiros e Outros
CORR4;Financeiros e Outros
CRIV3;Financeiros e Outros
CRIV4;Financeiros e Outros
CSAB3;Financeiros e Outros
CSAB4;Financeiros e Outros
CXSE3;Financeiros e Outros
EPAR3;Financeiros e Outros
FIGE3;Financeiros e Outros
FIGE4;Financeiros e Outros
FNCN3;Financeiros e Outros
FTRT3B;Financeiros e Outros
G2DI33;Financeiros e Outros
GETT11;Financeiros e Outros
GETT3;Financeiros e Outros
GETT4;Financeiros e Outros
GPIV33;Financeiros e Outros
GSHP3;Financeiros e Outros
HBRE3;Financeiros e Outros
HBTS5;Financeiros e Outros
IDVL3;Financeiros e Outros
IDVL4;Financeiros e Outros
IGBR3;Financeiros e Outros
IGTA3;Financeiros e Outros
IGTI11;Financeiros e Outros
IGTI3;Financeiros e Outros
IGTI4;Financeiros e Outros
IRBR3;Financeiros e Outros
ITSA3;Financeiros e Outros
ITSA4;Financeiros e Outros
ITUB3;Financeiros e Outros
ITUB4;Financeiros e Outros
LHER3;Financeiros e Outros
LHER4;Financeiros e Outros
LOGG3;Financeiros e Outros
LPSB3;Financeiros e Outros
MAPT3;Financeiros e Outros
MAPT4;Financeiros e Outros
MERC3;Financeiros e Outros
MERC4;Financeiros e Outros
MOAR3;Financeiros e Outros
MODL11;Financeiros e Outros
MODL3;Financeiros e Outros
MODL4;Financeiros e Outros
MULT3;Financeiros e Outros
NEXP3;Financeiros e Outros
PDTC3;Financeiros e Outros
PEAB3;Financeiros e Outros
PEAB4;Financeiros e Outros
PINE3;Financeiros e Outros
PINE4;Financeiros e Outros
PPAR3;Financeiros e Outros
PPLA11;Financeiros e Outros
PSSA3;Financeiros e Outros
QVQP3B;Financeiros e Outros
RPAD3;Financeiros e Outros
RPAD5;Financeiros e Outros
RPAD6;Financeiros e Outros
SANB11;Financeiros e Outros
SANB3;Financeiros e Outros
SANB4;Financeiros e Outros
SCAR3;Financeiros e Outros
SIMH3;Financeiros e Outros
SPRT3B;Financeiros e Outros
SULA11;Financeiros e Outros
SULA3;Financeiros e Outros
SULA4;Financeiros e Outros
SYNE3;Financeiros e Outros
WIZC3;Financeiros e Outros
BMOB3;Tecnologia da Informação
BRQB3;Tecnologia da Informação
CASH3;Tecnologia da Informação
CLSA3;Tecnologia da Informação
DOTZ3;Tecnologia da Informação
ENJU3;Tecnologia da Informação
IFCM3;Tecnologia da Informação
INTB3;Tecnologia da Informação
ITEC3;Tecnologia da Informação
LINX3;Tecnologia da Informação
LVTC3;Tecnologia da Informação
LWSA3;Tecnologia da Informação
MLAS3;Tecnologia da Informação
MOSI3;Tecnologia da Informação
NGRD3;Tecnologia da Informação
NINJ3;Tecnologia da Informação
POSI3;Tecnologia da Informação
QUSW3;Tecnologia da Informação
SQIA3;Tecnologia da Informação
TOTS3;Tecnologia da Informação
TRAD3;Tecnologia da Informação
AALR3;Saúde
ADHM3;Saúde
BALM3;Saúde
BALM4;Saúde
BIOM3;Saúde
BLAU3;Saúde
BPHA3;Saúde
CREM3;Saúde
DASA3;Saúde
DMVF3;Saúde
FLRY3;Saúde
GBIO33;Saúde
GNDI3;Saúde
HAPV3;Saúde
HYPE3;Saúde
KRSA3;Saúde
MATD3;Saúde
NRTQ3;Saúde
ODPV3;Saúde
OFSA3;Saúde
ONCO3;Saúde
PARD3;Saúde
PFRM3;Saúde
PGMN3;Saúde
PNVL3;Saúde
PNVL4;Saúde
QUAL3;Saúde
RADL3;Saúde
RDOR3;Saúde
VVEO3;Saúde
CSAN3;Petróleo e Gás
DMMO11;Petróleo e Gás
DMMO3;Petróleo e Gás
ENAT3;Petróleo e Gás
LUPA3;Petróleo e Gás
OGXP3;Petróleo e Gás
OSXB3;Petróleo e Gás
PETR3;Petróleo e Gás
PETR4;Petróleo e Gás
PRIO3;Petróleo e Gás
RAIZ4;Petróleo e Gás
RECV3;Petróleo e Gás
RPMG3;Petróleo e Gás
RRRP3;Petróleo e Gás
UGPA3;Petróleo e Gás
VBBR3;Petróleo e Gás
BRIT3;Comunicações
DESK3;Comunicações
ELMD3;Comunicações
FIQE3;Comunicações
OIBR3;Comunicações
OIBR4;Comunicações
TELB3;Comunicações
TELB4;Comunicações
TIMS3;Comunicações
VIVT3;Comunicações
VIVT4;Comunicações
